gene	GeneLen	GenomesCovered	SynPerGenome	SynPerGenomePerKb	NonsynPerGenome	NonsynPerGenomePerKb
LF3	LF3	2775	2	9.58	3.45	18.42	6.64
LF2	LF2	1290	95	1.33	1.03	0.04	0.03
LF1	LF1	1410	97	4.56	3.23	3.80	2.70
RPMS1	RPMS1	312	110	0.00	0.00	0.74	2.36
BILF1	BILF1	939	110	5.01	5.33	0.43	0.46
BALF5	BALF5	3048	108	6.27	2.06	3.22	1.06
BALF4	BALF4	2574	111	9.11	3.54	3.49	1.36
A73	A73	381	108	0.69	1.80	0.06	0.15
BALF3	BALF3	2370	111	8.61	3.63	2.00	0.84
BARF0	BARF0	1416	113	1.05	0.74	5.74	4.06
BALF2	BALF2	3387	111	8.38	2.47	1.39	0.41
BALF1	BALF1	663	110	0.49	0.74	0.58	0.88
BARF1	BARF1	666	105	1.90	2.85	0.60	0.90
BNLF2b	BNLF2b	306	110	1.12	3.65	1.62	5.29
BNLF2a	BNLF2a	183	109	0.17	0.90	1.16	6.32
LMP1	LMP1	1161	106	4.87	4.19	21.25	18.31
